lang,rare_mode,fold,avg_len,entropy,unconditional_entropy,test_loss,test_acc,val_loss,val_acc,best_epoch
ger_n,drop,0,5.86644951140065,2.17311977139719,2.88184537715559,1.81390606838724,0.605978260869565,1.86881580560104,0.605978260869565,7
ger_n,drop,1,5.86644951140065,2.17311977139719,2.88184537715559,1.90535555715146,0.592391304347826,1.82959557616192,0.603260869565217,10
ger_n,drop,2,5.86644951140065,2.17311977139719,2.88184537715559,1.74292116579802,0.622282608695652,1.83088390723519,0.611413043478261,9
ger_n,drop,3,5.86644951140065,2.17311977139719,2.88184537715559,2.26098819400953,0.538043478260869,1.75521092829497,0.64945652173913,10
ger_n,drop,4,5.86644951140065,2.17311977139719,2.88184537715559,1.81742647419805,0.589673913043478,2.1943721252939,0.535326086956522,8
ger_n,drop,5,5.86644951140065,2.17311977139719,2.88184537715559,1.9320651344631,0.622282608695652,1.79434206174768,0.622282608695652,6
ger_n,drop,6,5.86644951140065,2.17311977139719,2.88184537715559,1.76194514398989,0.627717391304348,1.91902815777323,0.616847826086957,6
ger_n,drop,7,5.86644951140065,2.17311977139719,2.88184537715559,1.81329681562341,0.625,1.77663156260615,0.622282608695652,6
ger_n,drop,8,5.86644951140065,2.17311977139719,2.88184537715559,1.85381444295247,0.594086021505376,1.8000165897867,0.614130434782609,5
ger_n,drop,9,5.86644951140065,2.17311977139719,2.88184537715559,1.87966630769813,0.600543478260869,1.88430216491863,0.610215053763441,8
cze,drop,0,6.28967065868264,1.35068027103612,2.74730341833028,0.788051548075587,0.805243445692884,0.828780597738559,0.782771535580524,55
cze,drop,1,6.28967065868264,1.35068027103612,2.74730341833028,0.892702974183729,0.794007490636704,0.815463809931323,0.794007490636704,50
cze,drop,2,6.28967065868264,1.35068027103612,2.74730341833028,0.731756031736452,0.820224719101124,0.860676387945811,0.794007490636704,50
cze,drop,3,6.28967065868264,1.35068027103612,2.74730341833028,0.826133177968,0.782771535580524,0.65579767396834,0.838951310861423,66
cze,drop,4,6.28967065868264,1.35068027103612,2.74730341833028,0.856287509761053,0.782771535580524,0.818245466282305,0.790262172284644,68
cze,drop,5,6.28967065868264,1.35068027103612,2.74730341833028,0.776735609390316,0.801498127340824,0.844812478019057,0.797752808988764,70
cze,drop,6,6.28967065868264,1.35068027103612,2.74730341833028,0.915716835622037,0.786516853932584,0.781736066278893,0.794007490636704,53
cze,drop,7,6.28967065868264,1.35068027103612,2.74730341833028,0.877715207217784,0.779026217228464,0.870206664117534,0.779026217228464,59
cze,drop,8,6.28967065868264,1.35068027103612,2.74730341833028,0.700243077756747,0.836431226765799,0.82725248086765,0.786516853932584,87
cze,drop,9,6.28967065868264,1.35068027103612,2.74730341833028,0.821094353993734,0.786516853932584,0.726269856926234,0.821561338289963,50
