lang,rare_mode,fold,avg_len,entropy,unconditional_entropy,test_loss,test_acc,val_loss,val_acc,best_epoch
ger_n,drop,0,5.86644951140065,2.17311977139719,2.88184537715559,1.44833058896272,0.676630434782609,1.46896772280983,0.663043478260869,11
ger_n,drop,1,5.86644951140065,2.17311977139719,2.88184537715559,1.63898250331049,0.654891304347826,1.41190084167149,0.709239130434783,14
ger_n,drop,2,5.86644951140065,2.17311977139719,2.88184537715559,1.40851031179013,0.690217391304348,1.57545517320218,0.646739130434783,10
ger_n,drop,3,5.86644951140065,2.17311977139719,2.88184537715559,1.67955095871635,0.652173913043478,1.39775640549867,0.720108695652174,9
ger_n,drop,4,5.86644951140065,2.17311977139719,2.88184537715559,1.54857902941496,0.657608695652174,1.59387951311858,0.671195652173913,10
ger_n,drop,5,5.86644951140065,2.17311977139719,2.88184537715559,1.6076500001161,0.627717391304348,1.48259346899779,0.652173913043478,12
ger_n,drop,6,5.86644951140065,2.17311977139719,2.88184537715559,1.33222113484922,0.71195652173913,1.62755094403806,0.64945652173913,8
ger_n,drop,7,5.86644951140065,2.17311977139719,2.88184537715559,1.42162727273029,0.692934782608696,1.33473221115444,0.703804347826087,10
ger_n,drop,8,5.86644951140065,2.17311977139719,2.88184537715559,1.47579068009571,0.67741935483871,1.37330141793127,0.706521739130435,9
ger_n,drop,9,5.86644951140065,2.17311977139719,2.88184537715559,1.49363387149313,0.673913043478261,1.46453014753198,0.682795698924731,11
cze,drop,0,6.28967065868264,1.35068027103612,2.74730341833028,0.383413893453191,0.906367041198502,0.311657773867975,0.951310861423221,12
cze,drop,1,6.28967065868264,1.35068027103612,2.74730341833028,0.350119397881326,0.913857677902622,0.367640251523993,0.910112359550562,10
cze,drop,2,6.28967065868264,1.35068027103612,2.74730341833028,0.413309847370962,0.913857677902622,0.35493839043803,0.921348314606742,13
cze,drop,3,6.28967065868264,1.35068027103612,2.74730341833028,0.366483908021048,0.910112359550562,0.359074339438021,0.917602996254682,17
cze,drop,4,6.28967065868264,1.35068027103612,2.74730341833028,0.41272484854366,0.910112359550562,0.277264999539665,0.925093632958802,18
cze,drop,5,6.28967065868264,1.35068027103612,2.74730341833028,0.369568771190858,0.913857677902622,0.330299985765964,0.917602996254682,17
cze,drop,6,6.28967065868264,1.35068027103612,2.74730341833028,0.337427925081289,0.910112359550562,0.400288003660766,0.891385767790262,11
cze,drop,7,6.28967065868264,1.35068027103612,2.74730341833028,0.333892947279112,0.913857677902622,0.320070947154184,0.917602996254682,14
cze,drop,8,6.28967065868264,1.35068027103612,2.74730341833028,0.401690646175115,0.888475836431227,0.301509415165762,0.932584269662921,27
cze,drop,9,6.28967065868264,1.35068027103612,2.74730341833028,0.387203049570434,0.917602996254682,0.334264059049046,0.9182156133829,16
