lang,rare_mode,avg_len,entropy,unconditional_entropy,test_loss,test_acc,best_epoch,val_loss,val_acc,embedding_size,hidden_size,word2vec_size,nlayers,dropout
por,,5.659666460778258,0.8081238416081306,0.8081238416081306,0.7511893539893918,0.8292682926829268,17,0.7088176937577146,0.8385093167701864,205,155,140,2,0.3986802720456118
spa,,5.678959810874704,0.8795589611561756,0.8795589611561756,0.8402323789374773,0.8046511627906977,14,0.8033690612281909,0.8181818181818182,40,55,36,2,0.4878959588279488
ger_v,,4.759770114942529,2.323901047769409,2.323901047769409,2.324401363249748,0.43010752688172044,10,2.155877885364351,0.4880952380952381,97,163,90,1,0.4652327060902455
ger_n,drop,5.866449511400652,2.1731197713971913,2.881845377155586,1.8963528230121443,0.5826771653543307,8,1.8760345048008702,0.6022099447513812,29,57,35,1,0.18501427179507046
ger_n,group,5.868542061130647,2.195603718314737,2.9054402181263455,2.0654714300489303,0.5926892950391645,16,1.8901730490124915,0.6198347107438017,90,65,157,2,0.23601426922342372
cze,drop,6.289670658682635,1.3506802710361239,2.747303418330281,0.8801082170396936,0.7906137184115524,44,0.8290659380323104,0.7938931297709924,211,45,52,2,0.4351327361025478
cze,group,6.278545454545455,1.4913231102836453,2.8554979001054175,1.0685012724016096,0.7727272727272727,14,0.9128672407462252,0.79182156133829,176,94,104,1,0.17530101708364126
ger_n-sing,drop,5.876607387140903,0.5822410438490896,1.1921076060843405,0.5336555542984629,0.8780487804878049,6,0.3749800206540705,0.9203296703296703,202,61,22,1,0.35614013588636506
ger_n-sing,group,5.878308321964529,0.6036696373427834,1.2160265332994615,0.6001450719060124,0.8675675675675676,8,0.4011930808629075,0.9068493150684932,153,32,33,1,0.3940724209006651
ger_n-plural,drop,5.8746942103832565,1.842439179087376,2.279956068779931,1.5957908833280523,0.6409574468085106,4,1.5946426017225281,0.6198347107438017,81,79,13,2,0.07074162727983208
ger_n-plural,group,5.8746942103832565,1.842439179087376,2.279956068779931,1.6178436177842161,0.6223404255319149,6,1.6206839314505417,0.6446280991735537,194,107,218,2,0.3224321927000905
